covariate,coef,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p
SERVICE_UND_042B_5,0.11315309907576902,1.119803360685101,1.0830030063136105,1.157854188115274,3.2024297195317565e-11
STRUCTURE_TYPE_043B_20,0.11012994929548124,1.11642313943329,0.9829362173338831,1.2680381537296703,0.09006388193563472
ROAD_CLASS_Local,-0.10983293888116956,0.895983806851258,0.8845961473177553,0.9075180629871132,1.4829413700601607e-63
SERVICE_ON_042A_5,0.1057353096584389,1.1115276269385106,1.0583712854321095,1.1673537278018007,2.3475293381001226e-05
STATE_18,0.10405955635063371,1.1096665406372315,1.0727316619480665,1.1478731122503343,1.6912610914677436e-09
STRUCTURE_KIND_043A_8,0.10195368440266404,1.1073321837886854,1.0298520712220915,1.1906414518340929,0.0058736794829787565
STRUCTURE_KIND_043A_4,0.09910688789875957,1.104184317192949,1.0722991436730591,1.137017607007058,3.3763923341337267e-11
NATIONAL_NETWORK_110_missing,0.09836563717300757,1.1033661430400206,1.0555448229739237,1.1533540017533543,1.3542797847341366e-05
STATE_40,0.09292075302260003,1.0973747681887345,1.065859725105204,1.1298216392766103,4.1023471140617337e-10
DECK_PROTECTION_9,-0.08960646536079762,0.9142909196298026,0.8598829873812033,0.9721414401549575,0.004202283408711391
STRUCTURE_TYPE_043B_12,0.08930384366374197,1.093412832419959,0.9628868434623131,1.2416325243387032,0.16855203845654898
ROAD_CLASS_Minor_Arterial,0.08767928126228426,1.0916379571313233,1.0725416896238964,1.111074227676621,2.0857053031581883e-22
SERVICE_ON_042A_9,0.08679207264131793,1.0906698760332316,0.4437778855668407,2.6805318993462466,0.849956713015839
YEAR_BUILT_027,0.08510571257328943,1.088832163864605,1.0884029169457634,1.0892615800708627,0.0
STRUCTURE_TYPE_043B_22,0.08428352023202301,1.0879373023231147,1.0464458506495287,1.1310738850475934,2.1535535050555022e-05
STATE_45,-0.08323721411429791,0.9201328528301727,0.886418310058665,0.9551297138721777,1.2403624091196924e-05
TRAFFIC_DIRECTION_102_3,0.08049453315933955,1.0838229215388389,1.0542407445312898,1.114235179532202,1.1914125137754643e-08
